f1,f2,f3,f4,f5,target
0.2047,0.2695,0.3789,0.3069,0.3174,0
0.7597,0.6077,0.8061,0.3113,0.0252,1
0.9538,0.5428,0.6946,0.7037,0.8334,1
0.0752,0.1993,0.1427,0.8458,0.3367,1
0.1538,0.0781,0.6728,0.0001,0.7949,0
0.7334,0.4367,0.8094,0.6032,0.2712,1
0.4770,0.5988,0.5172,0.6032,0.5063,1
0.1401,0.6364,0.5327,0.1349,0.0759,0
0.8665,0.4223,0.8067,0.7223,0.7252,1
0.3289,0.3644,0.7622,0.5672,0.4745,1
0.7158,0.4548,0.9081,0.8278,0.7657,1
0.2133,0.4088,0.6603,0.1462,0.1261,0
0.2206,0.3385,0.3223,0.7593,0.6696,1
0.7579,0.0314,0.0167,0.7957,0.2205,1
0.8078,0.0815,0.4717,0.8997,0.1405,1
0.9305,0.7580,0.0791,0.4124,0.4724,1
0.9448,0.6714,0.4646,0.2443,0.4689,1
0.0115,0.4080,0.8121,0.9032,0.8064,0
0.3260,0.0437,0.8869,0.8395,0.7801,1
0.0978,0.4976,0.2477,0.8538,0.8135,1
0.6170,0.5392,0.9755,0.6423,0.6047,1
0.1737,0.2476,0.7330,0.3742,0.4254,0
0.4483,0.5903,0.8328,0.0771,0.4251,0
0.6145,0.4902,0.5976,0.3450,0.4673,0
0.8921,0.9631,0.3996,0.6472,0.7994,1
0.6583,0.1313,0.0064,0.5595,0.0284,1
0.6003,0.1183,0.8652,0.4072,0.9797,0
0.6709,0.2894,0.2732,0.6815,0.1031,1
0.2831,0.5984,0.7690,0.9221,0.2864,1
0.7547,0.4755,0.0741,0.6895,0.2107,1
0.2459,0.1817,0.9173,0.3857,0.3580,0
0.1999,0.5346,0.7816,0.6663,0.3430,0
0.0234,0.5112,0.8952,0.1736,0.5266,0
0.3066,0.8331,0.0290,0.5920,0.6765,1
0.1983,0.7822,0.8799,0.0719,0.5270,0
0.8258,0.1380,0.5865,0.3797,0.8443,0
0.0910,0.3306,0.6306,0.2661,0.1046,0
0.9770,0.0117,0.8181,0.0420,0.1362,0
0.2131,0.4063,0.6199,0.4948,0.7137,0
0.2100,0.9558,0.3853,0.2209,0.8594,0
0.5969,0.1399,0.6017,0.2874,0.7598,0
0.4240,0.9213,0.6820,0.0942,0.8829,0
0.3273,0.5207,0.0826,0.0592,0.8238,0
0.4459,0.8563,0.9741,0.7751,0.0113,1
0.6602,0.8278,0.7557,0.3166,0.2228,0
0.7879,0.8712,0.6107,0.2648,0.2082,1
0.2355,0.1215,0.0475,0.3249,0.3798,0
0.0530,0.2807,0.0415,0.9619,0.0871,1
0.4107,0.8444,0.1868,0.1374,0.1739,0
0.4484,0.0160,0.4664,0.5537,0.7094,0
0.2636,0.3324,0.3484,0.0565,0.6838,0
0.7474,0.1670,0.6108,0.0911,0.7468,0
0.5310,0.9200,0.3606,0.0726,0.5193,0
0.4092,0.1309,0.6957,0.2763,0.9434,0
0.4854,0.3338,0.8593,0.1974,0.1252,0
0.2299,0.3632,0.3962,0.4920,0.1203,0
0.7760,0.0356,0.4595,0.8334,0.7996,1
0.1772,0.3893,0.8907,0.1369,0.1890,0
0.1024,0.1679,0.1281,0.6679,0.3830,0
0.3232,0.8229,0.1479,0.7084,0.4923,1
0.2647,0.7234,0.9928,0.5819,0.6139,0
0.2068,0.1003,0.5055,0.5003,0.5059,0
0.0750,0.5885,0.3777,0.5713,0.2512,0
0.9563,0.6017,0.3875,0.6896,0.8496,1
0.9734,0.3941,0.1533,0.9063,0.3056,1
0.7259,0.1409,0.5745,0.4382,0.9943,1
0.5349,0.8337,0.7996,0.9472,0.8807,1
0.8034,0.2858,0.6769,0.3578,0.2740,0
0.5263,0.7475,0.6856,0.0021,0.7290,0
0.8974,0.6409,0.1107,0.0570,0.0035,0
0.0311,0.9954,0.8793,0.7244,0.7470,1
0.2553,0.5617,0.7813,0.9398,0.9179,1
0.9505,0.2757,0.9203,0.6345,0.4046,1
0.9197,0.8222,0.0917,0.0322,0.9805,1
0.2211,0.9402,0.5159,0.8863,0.6865,1
0.6477,0.2344,0.2324,0.1733,0.8708,0
0.1413,0.0188,0.7403,0.7057,0.3636,0
0.1750,0.3125,0.6662,0.1091,0.4847,0
0.6926,0.1957,0.8114,0.3208,0.7722,0
0.9291,0.6395,0.1812,0.6896,0.5238,1
0.9789,0.3287,0.9228,0.7487,0.5101,1
0.6586,0.5263,0.9259,0.7968,0.4919,1
0.2090,0.1966,0.3144,0.0637,0.4448,0
0.0939,0.6859,0.7822,0.1262,0.1190,0
0.2620,0.5944,0.5303,0.3372,0.0886,0
0.5797,0.5419,0.1229,0.8550,0.7869,1
0.3512,0.5319,0.2677,0.2483,0.3554,0
0.6792,0.2960,0.3739,0.8851,0.5645,1
0.0266,0.2276,0.9021,0.1929,0.0455,0
0.0093,0.6157,0.4798,0.9071,0.8711,1
0.0522,0.2335,0.3029,0.4008,0.7393,0
0.2399,0.1750,0.8468,0.9758,0.6465,1
0.5630,0.9274,0.8771,0.3259,0.2906,0
0.9671,0.4784,0.6288,0.4943,0.6310,1
0.3976,0.3814,0.6623,0.7160,0.7800,1
0.5153,0.9297,0.7638,0.8595,0.8876,1
0.8959,0.1137,0.4957,0.8355,0.5752,1
0.1608,0.3243,0.7075,0.9662,0.8337,1
0.1838,0.3044,0.7675,0.8137,0.5527,0
0.6623,0.4780,0.4060,0.3076,0.6043,0
0.1832,0.3065,0.3772,0.2290,0.1303,0
0.6431,0.8107,0.0398,0.4333,0.0197,1
0.7163,0.8963,0.0643,0.8264,0.7088,1
0.8252,0.7455,0.8600,0.7636,0.1705,1
0.8709,0.1625,0.7477,0.6386,0.6784,1
0.8698,0.0760,0.8562,0.2746,0.9070,0
0.5434,0.0555,0.6465,0.0508,0.4451,0
0.3842,0.1430,0.9768,0.4070,0.8056,0
0.7880,0.1320,0.7220,0.7648,0.5006,1
0.7972,0.8227,0.9278,0.8411,0.3849,1
0.1065,0.3032,0.3041,0.3245,0.0090,0
0.0026,0.6222,0.5028,0.6381,0.8034,0
0.2395,0.2819,0.9313,0.9371,0.8866,1
0.9348,0.3233,0.6452,0.3151,0.9923,1
0.7378,0.7879,0.3337,0.0164,0.7939,1
0.1081,0.4739,0.4926,0.3586,0.7321,0
0.0978,0.8597,0.0306,0.8392,0.8288,1
0.5954,0.2858,0.5555,0.3450,0.0024,0
0.8485,0.5844,0.0733,0.1678,0.3122,1
0.7685,0.9971,0.4506,0.0289,0.2313,0
0.5816,0.7924,0.6717,0.3514,0.2157,1
0.8483,0.0739,0.4067,0.4813,0.9838,1
0.7985,0.5617,0.6749,0.7353,0.1224,1
0.1173,0.4113,0.0124,0.6201,0.7747,1
0.8601,0.0146,0.7172,0.0865,0.3190,0
0.1033,0.7839,0.3092,0.8497,0.4571,1
0.1622,0.5421,0.1327,0.0457,0.9622,0
0.6236,0.9679,0.5905,0.1653,0.4210,0
0.9665,0.0941,0.6864,0.2567,0.0860,0
0.2206,0.3261,0.1646,0.6161,0.3644,0
0.8566,0.7071,0.7272,0.3166,0.9803,1
0.1939,0.8590,0.3396,0.7255,0.7549,1
0.6591,0.9249,0.7552,0.2638,0.5046,0
0.2880,0.9547,0.1544,0.2184,0.8689,0
0.5892,0.5429,0.7979,0.5026,0.9788,1
0.5056,0.7573,0.0192,0.1653,0.0422,1
0.8433,0.4488,0.3196,0.4569,0.8159,1
0.7372,0.6631,0.9876,0.4758,0.2660,1
0.5782,0.9856,0.4580,0.7630,0.9623,1
0.2105,0.5208,0.3602,0.1743,0.0824,0
0.1987,0.6422,0.3307,0.0252,0.2985,0
0.1776,0.9864,0.6512,0.9106,0.4196,1
0.1228,0.7137,0.9109,0.3751,0.8572,0
0.8602,0.5200,0.0818,0.6052,0.5219,1
0.3591,0.7316,0.5708,0.8382,0.6462,1
0.7822,0.2471,0.0060,0.3315,0.5059,1
0.3218,0.1921,0.1018,0.1480,0.3667,0
0.4634,0.2120,0.0385,0.4139,0.9023,0
0.0710,0.2671,0.9987,0.8921,0.5960,0
0.4839,0.4535,0.9982,0.9954,0.0361,0
0.0344,0.2852,0.5219,0.5128,0.1088,0
0.7475,0.2840,0.6763,0.7437,0.0720,1
0.3548,0.3506,0.8599,0.1832,0.1085,0
0.5748,0.8674,0.7193,0.1490,0.9465,1
0.8504,0.0795,0.5267,0.7263,0.3722,1
0.0298,0.4761,0.5049,0.0093,0.2428,0
0.1260,0.8636,0.9120,0.4574,0.7358,0
0.0817,0.3209,0.7216,0.2207,0.8707,0
0.8877,0.1097,0.2828,0.4370,0.8078,1
0.3588,0.1310,0.5149,0.3917,0.7428,0
0.1744,0.9779,0.0585,0.3621,0.3116,1
0.6118,0.5042,0.2980,0.8898,0.6039,1
0.0774,0.4586,0.5146,0.6128,0.0308,0
0.1458,0.3530,0.5147,0.2267,0.0077,0
0.2850,0.7185,0.6816,0.6277,0.9774,0
0.9735,0.2206,0.6175,0.2020,0.8129,0
0.5074,0.6341,0.8028,0.7909,0.5980,1
0.4307,0.9769,0.9875,0.8177,0.7619,1
0.5328,0.9242,0.7325,0.8450,0.5600,1
0.0326,0.6997,0.6143,0.5189,0.9602,1
0.3639,0.8177,0.2423,0.9003,0.1685,1
0.6930,0.9609,0.4725,0.7139,0.0599,1
0.9141,0.5530,0.7600,0.1030,0.9939,1
0.3137,0.6645,0.0472,0.2584,0.7633,1
0.2168,0.5612,0.9853,0.0519,0.0542,0
0.1463,0.4053,0.5255,0.0351,0.3617,0
0.2258,0.3907,0.6334,0.4038,0.8376,0
0.3213,0.4154,0.0546,0.8447,0.0620,1
0.3894,0.5342,0.6214,0.9862,0.1957,1
0.2821,0.9345,0.4966,0.2364,0.9882,0
0.3693,0.7189,0.1130,0.8980,0.3452,1
0.1196,0.1506,0.0494,0.4038,0.2983,0
0.2095,0.4746,0.3049,0.1471,0.6493,0
0.6490,0.3192,0.1752,0.3114,0.3006,0
0.9955,0.3193,0.3919,0.7955,0.6205,1
0.3055,0.9693,0.6363,0.2456,0.7341,1
0.2094,0.1550,0.4884,0.6656,0.5045,1
0.2860,0.8643,0.0979,0.2437,0.3388,0
0.7069,0.6827,0.1615,0.7722,0.1396,1
0.1045,0.9889,0.2854,0.5856,0.8719,1
0.8609,0.9263,0.6098,0.8682,0.9686,1
0.0770,0.0877,0.6871,0.6208,0.9712,0
0.2077,0.3204,0.8100,0.8856,0.7819,0
0.6900,0.8948,0.0268,0.3411,0.8650,1
0.7872,0.9025,0.2661,0.4933,0.4862,1
0.5268,0.8110,0.5419,0.1689,0.5728,0
0.7664,0.6025,0.5108,0.0558,0.9159,0
0.3944,0.0610,0.8672,0.8553,0.1988,1
0.2762,0.0416,0.7344,0.0674,0.2311,0
0.2672,0.6258,0.7780,0.1975,0.9236,0
0.4129,0.8263,0.8945,0.9291,0.4039,1
0.5625,0.1346,0.6926,0.5135,0.6850,1
0.6319,0.4154,0.2223,0.5250,0.7938,1
0.3015,0.5533,0.2014,0.1362,0.5216,0
0.1867,0.9765,0.9638,0.2384,0.3096,0
0.1678,0.2925,0.2982,0.7861,0.1295,1
0.1636,0.9777,0.3124,0.9141,0.3572,1
0.7497,0.1546,0.4728,0.3297,0.9541,1
0.7184,0.8932,0.3189,0.1906,0.6842,0
0.1843,0.5772,0.7785,0.8467,0.5895,1
0.6082,0.2862,0.8178,0.0954,0.3044,0
0.8028,0.8895,0.4748,0.3913,0.8556,1
0.8350,0.9348,0.4573,0.7638,0.5141,1
0.8506,0.1297,0.4150,0.3009,0.7506,1
0.1544,0.9735,0.5463,0.0050,0.3315,0
0.2027,0.6097,0.1502,0.0970,0.1873,0
0.9886,0.6173,0.8861,0.5545,0.1470,1
0.3520,0.7740,0.5315,0.7437,0.6357,1
0.5338,0.2356,0.4266,0.9507,0.5788,1
0.6784,0.8050,0.7356,0.0615,0.8300,0
0.6998,0.0180,0.3161,0.8391,0.7851,1
0.7684,0.9819,0.0855,0.1830,0.5710,1
0.7457,0.2660,0.0327,0.0346,0.0929,1
0.2756,0.1965,0.0251,0.8150,0.3897,1
0.5495,0.3631,0.9128,0.7534,0.9284,1
0.1367,0.7332,0.5564,0.1491,0.6249,0
0.8387,0.5750,0.7519,0.0742,0.8764,0
0.8879,0.2631,0.4174,0.8602,0.6511,1
0.5938,0.8422,0.3483,0.9278,0.7848,1
0.5508,0.8172,0.6924,0.3279,0.6267,0
0.4140,0.2893,0.2771,0.4519,0.9354,1
0.7155,0.6423,0.5443,0.5644,0.8956,1
0.0807,0.5649,0.7492,0.8811,0.2761,1
0.6960,0.8754,0.4649,0.7764,0.4764,1
0.5918,0.3448,0.4923,0.7449,0.5670,1
0.8366,0.9028,0.6493,0.8553,0.3408,1
0.9218,0.1380,0.4268,0.7513,0.8904,1
0.1304,0.0445,0.7018,0.1057,0.4310,0
0.7726,0.5499,0.9385,0.1459,0.8974,0
0.5872,0.8287,0.1314,0.2604,0.0413,0
0.9172,0.7808,0.0643,0.2736,0.1470,1
0.4001,0.9644,0.7312,0.4400,0.3261,1
0.2039,0.4350,0.2100,0.2155,0.4084,0
0.9757,0.4636,0.6198,0.3972,0.8015,1
0.2178,0.8603,0.7661,0.6146,0.9803,0
0.5245,0.4370,0.9830,0.3339,0.9012,0
0.3216,0.4899,0.8437,0.9032,0.0717,1
0.7774,0.0231,0.7793,0.7382,0.1649,0
0.3694,0.5357,0.8727,0.4695,0.7658,0
0.2845,0.4903,0.8878,0.5176,0.5657,0
0.3718,0.5381,0.2538,0.7316,0.1529,1
0.9606,0.3955,0.9988,0.3354,0.8723,0
0.9626,0.7287,0.8929,0.5921,0.9999,1
0.4186,0.8234,0.7544,0.4386,0.0493,0
0.8732,0.1670,0.4592,0.5950,0.8710,1
0.8942,0.3262,0.3670,0.8590,0.7210,1
0.1928,0.6476,0.6286,0.0660,0.9648,0
0.7500,0.9688,0.4227,0.8617,0.2651,1
0.6962,0.2008,0.5560,0.9469,0.1147,1
0.7507,0.8996,0.8657,0.7276,0.0128,1
0.5523,0.3211,0.0198,0.9743,0.1351,1
0.7622,0.9245,0.3196,0.2707,0.1236,1
0.3160,0.1100,0.5200,0.0495,0.4390,0
0.5470,0.6079,0.1377,0.8308,0.8821,1
0.0413,0.9656,0.5968,0.2573,0.5879,0
0.7819,0.8770,0.0072,0.8360,0.2058,1
0.4571,0.5484,0.0101,0.3137,0.8036,1
0.4584,0.7518,0.2730,0.3382,0.1684,0
0.9702,0.9370,0.7743,0.1804,0.8324,1
0.1209,0.0550,0.8504,0.0356,0.8105,0
0.9925,0.2410,0.6535,0.2049,0.3100,0
0.9793,0.8526,0.3293,0.6993,0.8644,1
0.4528,0.7324,0.5766,0.1460,0.2026,0
0.1916,0.7892,0.3094,0.5255,0.8156,0
0.7238,0.8425,0.2963,0.1188,0.3356,0
0.0885,0.0639,0.0654,0.6398,0.5103,0
0.4108,0.6397,0.4864,0.8125,0.9980,1
0.0897,0.4325,0.8135,0.1890,0.0087,0
0.8172,0.8641,0.1225,0.0286,0.9849,1
0.6789,0.0652,0.8174,0.2999,0.4990,0
0.6990,0.7018,0.3935,0.0426,0.7867,1
0.7322,0.2487,0.9833,0.8834,0.6324,1
0.3573,0.0514,0.1227,0.7757,0.1881,1
0.6448,0.3850,0.7686,0.3951,0.1406,0
0.0157,0.3202,0.1485,0.2941,0.4642,0
0.3467,0.6278,0.0795,0.8869,0.4455,1
0.3155,0.5376,0.1242,0.8767,0.8140,1
0.8275,0.9219,0.9361,0.4603,0.9378,1
0.6823,0.8312,0.7812,0.2412,0.8628,0
0.0538,0.4428,0.7115,0.0923,0.8782,0
0.9280,0.2096,0.8709,0.0645,0.9406,0
0.2322,0.5175,0.6739,0.4974,0.7636,0
0.1713,0.5253,0.6708,0.2912,0.7789,0
0.1416,0.6635,0.8772,0.4149,0.3399,0
0.6076,0.5841,0.0366,0.6620,0.0109,1
0.9448,0.5096,0.1461,0.2735,0.7963,1
0.5909,0.6796,0.2321,0.5689,0.5979,1
0.8453,0.5593,0.8406,0.4621,0.2346,1
0.9784,0.9686,0.5696,0.4641,0.6819,1
0.9235,0.8726,0.3049,0.4682,0.8951,1
0.8203,0.9497,0.9506,0.3920,0.8869,1
0.0098,0.8259,0.3358,0.9169,0.2570,1
0.6966,0.2053,0.0864,0.1671,0.9210,1
0.9215,0.6213,0.8851,0.4877,0.0336,1
0.0663,0.3099,0.8142,0.6342,0.8695,0
0.8680,0.8301,0.9056,0.9422,0.9526,1
0.6292,0.6949,0.4238,0.2177,0.0083,0
0.7944,0.0228,0.2053,0.4809,0.5846,1
0.5345,0.3000,0.8986,0.8239,0.7778,1
0.1370,0.8181,0.9571,0.0114,0.2195,0
0.2548,0.5943,0.5897,0.8557,0.6380,1
0.3528,0.3799,0.7210,0.1821,0.8208,0
0.5376,0.3066,0.8249,0.7956,0.3742,1
0.9346,0.1283,0.3194,0.2634,0.6304,1
0.5664,0.3808,0.6103,0.6978,0.8153,1
0.6115,0.9379,0.7181,0.7456,0.8393,1
0.2366,0.4027,0.2354,0.7615,0.9411,1
0.6990,0.4681,0.2631,0.2792,0.5057,0
0.7009,0.5598,0.8406,0.0208,0.5741,0
0.1878,0.3753,0.1295,0.5720,0.5981,1
0.8697,0.6723,0.9690,0.9564,0.4657,1
0.4755,0.3229,0.2461,0.1245,0.8984,0
0.2564,0.4661,0.4241,0.4109,0.6400,1
0.1917,0.9119,0.8499,0.0699,0.8706,0
0.2782,0.3237,0.3625,0.3409,0.7679,0
0.7226,0.1391,0.9838,0.6182,0.2983,0
0.7179,0.1323,0.9082,0.4685,0.8407,1
0.6549,0.2609,0.3147,0.9365,0.4151,1
0.6016,0.4152,0.2580,0.9447,0.1737,1
0.3254,0.5476,0.6827,0.6818,0.3225,0
0.5452,0.5010,0.3639,0.0283,0.8103,0
0.9936,0.2593,0.3568,0.0750,0.9010,0
0.5856,0.9543,0.4977,0.4463,0.1651,0
0.8837,0.9148,0.3180,0.4942,0.0336,1
0.6281,0.7447,0.4966,0.1935,0.3192,0
0.7806,0.8828,0.9143,0.4441,0.8532,1
0.3444,0.7551,0.7442,0.0569,0.2603,0
0.4218,0.2913,0.4131,0.3073,0.0077,0
0.7307,0.0636,0.4522,0.6186,0.0695,1
0.5955,0.8922,0.8947,0.2730,0.3532,0
0.2892,0.1113,0.6711,0.7174,0.0317,0
0.6140,0.8184,0.4862,0.4191,0.2056,1
0.0610,0.4673,0.1433,0.4904,0.1842,0
0.8662,0.1870,0.2046,0.6042,0.2253,1
0.8981,0.1011,0.8067,0.5196,0.5988,1
0.7978,0.2473,0.9177,0.1539,0.2544,0
0.9010,0.5115,0.9026,0.7248,0.8517,1
0.9682,0.2134,0.3871,0.0527,0.0844,0
0.1302,0.4681,0.2496,0.5759,0.3255,0
0.6970,0.4667,0.2158,0.8419,0.6921,1
0.7458,0.9295,0.4454,0.3247,0.8733,1
0.7224,0.2263,0.8054,0.6269,0.8204,1
0.9767,0.4130,0.4268,0.5746,0.5507,1
0.5798,0.3007,0.7491,0.1115,0.4451,0
0.2641,0.1159,0.6180,0.6584,0.1421,0
0.0599,0.2929,0.9603,0.7763,0.8336,0
0.0729,0.0729,0.8880,0.9109,0.3257,0
0.4225,0.3322,0.0256,0.9469,0.8834,1
0.2059,0.3781,0.8877,0.6551,0.6363,0
0.2295,0.0301,0.7865,0.8825,0.3226,1
0.7371,0.1202,0.1542,0.5284,0.8789,1
0.7006,0.2935,0.7352,0.1263,0.9638,0
0.5665,0.7591,0.7307,0.7847,0.4653,1
0.2530,0.4990,0.8137,0.0207,0.1422,0
0.0179,0.6886,0.0836,0.6005,0.9401,1
0.7070,0.9267,0.5261,0.1648,0.2882,0
0.4628,0.0675,0.0750,0.0993,0.5470,0
0.4249,0.9910,0.2788,0.4497,0.9538,1
0.3574,0.4851,0.2113,0.8302,0.6738,1
0.7107,0.5501,0.2690,0.3353,0.9616,1
0.9798,0.8421,0.9359,0.6555,0.5391,1
0.7438,0.0230,0.7811,0.1598,0.1317,0
0.2957,0.4905,0.6163,0.1293,0.1744,0
0.3482,0.6181,0.6835,0.9123,0.6018,1
0.8897,0.2918,0.7218,0.9639,0.8171,1
0.3126,0.0721,0.0492,0.2334,0.1765,0
0.2187,0.9430,0.7044,0.2708,0.7427,0
0.2564,0.3288,0.0610,0.7524,0.0782,1
0.5020,0.2326,0.9424,0.3002,0.7292,0
0.3069,0.3714,0.9587,0.1340,0.9025,0
0.9882,0.6157,0.5911,0.1845,0.4218,1
0.3157,0.0333,0.4837,0.7074,0.9742,1
0.0358,0.7031,0.9731,0.9144,0.7661,0
0.3545,0.5913,0.4812,0.9228,0.1386,1
0.4848,0.0284,0.7203,0.7054,0.4403,0
0.6138,0.1770,0.5959,0.7531,0.8493,1
0.9588,0.4914,0.1184,0.9390,0.5748,1
0.3696,0.0601,0.3508,0.5433,0.0189,0
0.7962,0.5102,0.3101,0.1216,0.6600,1
0.2060,0.8867,0.6384,0.0755,0.6631,0
0.9425,0.7462,0.8293,0.0618,0.0957,0
0.8048,0.2668,0.4675,0.8409,0.8882,1
0.9442,0.0984,0.5723,0.3456,0.3298,1
0.6941,0.1854,0.1143,0.5868,0.8453,1
0.2738,0.8162,0.2831,0.9990,0.2388,1
0.7421,0.8057,0.0150,0.5265,0.8255,1
0.7962,0.7677,0.6937,0.8175,0.2940,1
0.7884,0.1888,0.8498,0.3649,0.2867,0
0.4186,0.9211,0.7050,0.6088,0.6140,1
0.1807,0.7602,0.8811,0.1484,0.4610,0
0.3161,0.3200,0.7563,0.0677,0.5480,0
0.9306,0.9601,0.7443,0.3320,0.3231,1
0.3463,0.9105,0.8764,0.1035,0.3939,0
0.1916,0.6496,0.3404,0.7451,0.4151,1
0.7956,0.8641,0.1261,0.9228,0.6576,1
0.2760,0.9762,0.8927,0.8843,0.7749,1
0.1876,0.5092,0.4962,0.6712,0.6746,0
0.2145,0.3124,0.4242,0.7794,0.6014,1
0.9441,0.7715,0.2244,0.0495,0.4296,1
0.2506,0.0620,0.2866,0.7057,0.1738,1
0.4024,0.8985,0.7746,0.6061,0.6358,1
0.4793,0.7927,0.6756,0.8324,0.8055,1
0.1132,0.6156,0.1286,0.2329,0.6234,0
0.8063,0.3334,0.3373,0.0181,0.4831,0
0.6863,0.2256,0.8280,0.7775,0.9406,1
0.2533,0.8502,0.5645,0.2781,0.7902,0
0.5450,0.4705,0.6840,0.1497,0.1525,0
0.4908,0.8025,0.7081,0.8693,0.4350,1
0.1271,0.8315,0.1011,0.9010,0.7768,1
0.2580,0.2108,0.4233,0.3959,0.0694,0
0.6432,0.1060,0.7473,0.5267,0.1828,0
0.0331,0.9291,0.7042,0.2660,0.6430,0
0.5181,0.9555,0.5023,0.5963,0.8844,1
0.2787,0.8145,0.4857,0.8134,0.5081,1
0.7304,0.3891,0.8354,0.4682,0.7223,1
0.0510,0.5134,0.9281,0.5232,0.8103,0
0.5335,0.3090,0.7019,0.1052,0.6306,0
0.9750,0.6229,0.9424,0.6874,0.2467,1
0.2964,0.7614,0.6535,0.3981,0.4551,0
0.9258,0.1889,0.2386,0.4973,0.7967,1
0.4737,0.4722,0.0554,0.6558,0.5698,1
0.2958,0.1821,0.6644,0.4300,0.1896,0
0.3027,0.0575,0.0835,0.7800,0.2391,1
0.2857,0.7948,0.9560,0.1263,0.1584,0
0.7972,0.6370,0.8400,0.6721,0.9915,1
0.7207,0.2587,0.5401,0.4209,0.0623,0
0.9586,0.3126,0.7015,0.9220,0.2253,1
0.4242,0.8081,0.8433,0.5626,0.3743,1
0.7956,0.1634,0.0856,0.2868,0.3133,0
0.8959,0.0661,0.7145,0.4487,0.3086,0
0.6345,0.2595,0.7167,0.8974,0.2969,1
0.4014,0.7665,0.9344,0.5357,0.5143,1
0.7004,0.4617,0.5782,0.2249,0.9493,0
0.4330,0.5224,0.6625,0.9447,0.6257,1
0.1013,0.8573,0.4656,0.1988,0.2999,0
0.8862,0.8683,0.8630,0.5775,0.7737,1
0.1096,0.9797,0.7701,0.7059,0.6105,1
0.8813,0.3935,0.6004,0.2440,0.7745,1
0.4286,0.1902,0.1075,0.7352,0.8996,1
0.7484,0.0490,0.7465,0.1539,0.7988,0
0.9281,0.8742,0.1681,0.4266,0.6941,1
0.5488,0.4266,0.0360,0.9447,0.1415,1
0.6392,0.2273,0.3568,0.3863,0.6829,1
0.7576,0.7945,0.7106,0.2815,0.7821,1
0.1774,0.4342,0.3206,0.6660,0.2084,1
0.5658,0.0069,0.0029,0.1761,0.7390,1
0.7668,0.2086,0.0792,0.0018,0.7556,1
0.8969,0.4061,0.1434,0.1385,0.4753,1
0.9117,0.7009,0.4096,0.6820,0.7780,1
0.1606,0.3741,0.7930,0.6021,0.3985,0
0.8513,0.0250,0.1064,0.2230,0.9031,1
0.0064,0.9910,0.2499,0.2498,0.7936,0
